description;name;snaptoroads;geojson
;VPM1161;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38289,-34.62281],[-58.38238,-34.62278],[-58.38212,-34.62276],[-58.38186,-34.62271],[-58.3816,-34.62259],[-58.3814,-34.62242],[-58.38125,-34.62221],[-58.38117,-34.62199],[-58.38117,-34.62146],[-58.38121,-34.62094],[-58.38123,-34.62039],[-58.38117,-34.62016],[-58.38107,-34.61988]]]}"
;VPM1171;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38366,-34.62302],[-58.38294,-34.62305],[-58.38259,-34.62307],[-58.38224,-34.62312],[-58.38205,-34.62314],[-58.3818,-34.6232],[-58.38172,-34.62323],[-58.38162,-34.62328],[-58.38148,-34.62337],[-58.38131,-34.6235],[-58.38117,-34.62362],[-58.38105,-34.62371],[-58.38093,-34.62381],[-58.38077,-34.62389],[-58.38061,-34.62393],[-58.38044,-34.62392],[-58.3803,-34.62389],[-58.38017,-34.62381],[-58.38005,-34.62372],[-58.37997,-34.62359],[-58.37991,-34.6234],[-58.37992,-34.62322],[-58.37993,-34.62295],[-58.37998,-34.6227],[-58.38007,-34.62248],[-58.38026,-34.62213]]]}"
;VPM1172;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38129,-34.62355],[-58.38084,-34.6241],[-58.38068,-34.62436],[-58.38054,-34.62463],[-58.37999,-34.62564],[-58.37983,-34.62589]]]}"
;VPM1183;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37946,-34.62591],[-58.37971,-34.62496],[-58.37981,-34.62456],[-58.37988,-34.62401],[-58.3798,-34.62378],[-58.37967,-34.62356],[-58.37946,-34.62338],[-58.37925,-34.62323],[-58.37899,-34.62313],[-58.37875,-34.62308],[-58.3782,-34.62297]]]}"
;VPM4191;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36825,-34.62231],[-58.36954,-34.62245],[-58.3713,-34.62244],[-58.3741,-34.62274],[-58.37499,-34.62283],[-58.37587,-34.62287],[-58.37757,-34.62281],[-58.37862,-34.62281]]]}"
;VPM4192;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36461,-34.62387],[-58.36539,-34.62316],[-58.3655,-34.62303],[-58.36565,-34.62289],[-58.36578,-34.6228],[-58.36592,-34.62272],[-58.3662,-34.62261],[-58.36635,-34.62257],[-58.36653,-34.62255],[-58.36669,-34.62254],[-58.36689,-34.62254],[-58.36821,-34.62261]]]}"
;VPM1201;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37049,-34.62242],[-58.37024,-34.62239],[-58.37001,-34.62238],[-58.36985,-34.62239],[-58.36954,-34.62239],[-58.36909,-34.62235],[-58.36881,-34.62232],[-58.36858,-34.6223],[-58.36848,-34.62228],[-58.36842,-34.62224],[-58.36839,-34.6222],[-58.36836,-34.62209],[-58.36833,-34.6219],[-58.36832,-34.62165]]]}"
;VPM1202;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36815,-34.62257],[-58.3665,-34.62219],[-58.36627,-34.62213],[-58.36604,-34.62202]]]}"
;VPM1203;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36607,-34.62151],[-58.3661,-34.62164],[-58.36618,-34.62175],[-58.36632,-34.62187],[-58.36646,-34.62195],[-58.36663,-34.622],[-58.36682,-34.622],[-58.367,-34.62198],[-58.36793,-34.62207],[-58.36887,-34.62231],[-58.37095,-34.6224]]]}"
;VPM1204;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3708,-34.62263],[-58.36962,-34.62271],[-58.369,-34.62274],[-58.36842,-34.62273],[-58.36803,-34.62271],[-58.36784,-34.62269],[-58.36766,-34.62264],[-58.36721,-34.62246],[-58.36695,-34.62237],[-58.3667,-34.62231],[-58.36634,-34.62231],[-58.36615,-34.62233],[-58.36601,-34.62237]]]}"
;VPM4211;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4671,-34.65147],[-58.46804,-34.65286],[-58.46868,-34.65405],[-58.46964,-34.65617],[-58.47052,-34.65791],[-58.47259,-34.66274]]]}"
;VPM4212;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47242,-34.66275],[-58.47176,-34.66126],[-58.47087,-34.65948],[-58.46922,-34.65555],[-58.46851,-34.65402],[-58.46787,-34.65287],[-58.46696,-34.65152]]]}"
;VPM4221;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47264,-34.66278],[-58.47377,-34.66538],[-58.47514,-34.66826],[-58.47687,-34.67232]]]}"
;VPM4222;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4767,-34.67234],[-58.47623,-34.67125],[-58.47466,-34.66796],[-58.47392,-34.66612],[-58.47246,-34.66283]]]}"
;VPM4231;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47689,-34.67235],[-58.47808,-34.67513],[-58.47927,-34.67762],[-58.48049,-34.68055],[-58.48095,-34.68167],[-58.48121,-34.68212],[-58.48152,-34.68251],[-58.48234,-34.68345],[-58.4831,-34.68419]]]}"
;VPM4232;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48299,-34.68427],[-58.48212,-34.68341],[-58.48131,-34.68257],[-58.48083,-34.68183],[-58.47869,-34.67712],[-58.47777,-34.67483],[-58.47751,-34.67424],[-58.47708,-34.67321],[-58.4767,-34.67236]]]}"
;VPM4241;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48312,-34.68421],[-58.48376,-34.68493],[-58.48402,-34.68524],[-58.48426,-34.68557],[-58.4854,-34.68687]]]}"
;VPM4242;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48522,-34.68693],[-58.48416,-34.68558],[-58.48363,-34.68502],[-58.48306,-34.68434]]]}"
;VPM1251;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37874,-34.62307],[-58.37898,-34.6231],[-58.37918,-34.62314],[-58.37941,-34.62322],[-58.3796,-34.62331],[-58.38003,-34.62348],[-58.38025,-34.62356],[-58.38047,-34.6236],[-58.38065,-34.62359],[-58.38083,-34.62355],[-58.38098,-34.62349],[-58.38111,-34.62339],[-58.38122,-34.62328],[-58.38131,-34.62318],[-58.38141,-34.62305],[-58.38146,-34.62288],[-58.38143,-34.62268],[-58.3814,-34.62258],[-58.38134,-34.62249],[-58.38105,-34.62213]]]}"
;VPM1252;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38139,-34.62341],[-58.38104,-34.6236],[-58.38086,-34.62368],[-58.38076,-34.62373],[-58.38064,-34.62375],[-58.38052,-34.62376],[-58.38039,-34.62376],[-58.38021,-34.62371],[-58.38005,-34.62364],[-58.37989,-34.62351],[-58.37976,-34.62332],[-58.37974,-34.62309],[-58.37975,-34.62284],[-58.37978,-34.62248],[-58.37992,-34.62223],[-58.38009,-34.62204],[-58.38024,-34.62182],[-58.38033,-34.62159],[-58.38039,-34.62088],[-58.38041,-34.62056],[-58.38049,-34.62024],[-58.38053,-34.62003],[-58.38061,-34.61981]]]}"
;VPM1261;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37835,-34.6228],[-58.37885,-34.62273],[-58.37918,-34.62271],[-58.37934,-34.6227],[-58.37946,-34.62266],[-58.37962,-34.62263],[-58.37977,-34.62258],[-58.38005,-34.62244],[-58.38026,-34.62236],[-58.38045,-34.62231],[-58.38059,-34.62228],[-58.38073,-34.62229],[-58.38086,-34.62232],[-58.38094,-34.62237],[-58.38109,-34.62247],[-58.38119,-34.62258],[-58.38125,-34.62274],[-58.38127,-34.62291],[-58.38119,-34.62311],[-58.38086,-34.62371],[-58.38063,-34.62412]]]}"
;VPM1262;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3781,-34.62278],[-58.37931,-34.62261],[-58.37958,-34.62253],[-58.37986,-34.62241],[-58.38006,-34.62224],[-58.38023,-34.62206],[-58.38034,-34.62182],[-58.38041,-34.62159],[-58.38046,-34.62112],[-58.38049,-34.62064],[-58.3805,-34.62039],[-58.38057,-34.62018]]]}"
;VPM4272;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46482,-34.53459],[-58.46464,-34.53456],[-58.46419,-34.53464],[-58.46342,-34.53487],[-58.46313,-34.535],[-58.46234,-34.53554],[-58.45943,-34.5378]]]}"
;VPM4271;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45896,-34.5373],[-58.45973,-34.53661],[-58.46068,-34.5356],[-58.46153,-34.53482],[-58.4623,-34.53447],[-58.46314,-34.53426],[-58.46396,-34.53426],[-58.4648,-34.5344]]]}"
;VPM4282;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4493,-34.54266],[-58.45078,-34.5418],[-58.452,-34.54118],[-58.45311,-34.54081],[-58.45394,-34.5406],[-58.45475,-34.54032],[-58.45717,-34.53916],[-58.45829,-34.53859],[-58.45937,-34.53786]]]}"
;VPM4281;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44881,-34.54209],[-58.45154,-34.54062],[-58.4524,-34.54026],[-58.45457,-34.53963],[-58.45539,-34.5393],[-58.45618,-34.53894],[-58.45763,-34.53822],[-58.4584,-34.53772],[-58.45893,-34.53729]]]}"
;VPM4292;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44922,-34.54269],[-58.44564,-34.54458],[-58.44171,-34.54676]]]}"
;VPM4291;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44147,-34.54631],[-58.44593,-34.54382],[-58.44876,-34.54212]]]}"
;VPM4302;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4416,-34.54679],[-58.43224,-34.55188]]]}"
;VPM4301;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43085,-34.55105],[-58.43169,-34.55094],[-58.43242,-34.55082],[-58.4331,-34.5507],[-58.43375,-34.55052],[-58.44119,-34.54649]]]}"
;VPM4312;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43216,-34.55195],[-58.42735,-34.55466],[-58.42441,-34.55656]]]}"
;VPM4311;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39924,-34.56989],[-58.39976,-34.56955],[-58.40066,-34.5691],[-58.40134,-34.56849],[-58.40212,-34.56771],[-58.40353,-34.56588],[-58.40525,-34.56365],[-58.40658,-34.5621],[-58.40821,-34.56026],[-58.4098,-34.55881],[-58.41139,-34.55747],[-58.41324,-34.55637],[-58.41551,-34.55513],[-58.41787,-34.5545],[-58.42023,-34.55397],[-58.42255,-34.5534],[-58.42491,-34.5527],[-58.42693,-34.55199],[-58.42842,-34.55139],[-58.42941,-34.55093],[-58.43066,-34.55103]]]}"
;VPM4332;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41656,-34.56256],[-58.41454,-34.56381],[-58.41242,-34.56489],[-58.40789,-34.56726]]]}"
;VPM4351;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3927,-34.57478],[-58.39362,-34.57443],[-58.39457,-34.5742],[-58.39568,-34.57397],[-58.39686,-34.57346],[-58.39793,-34.57284],[-58.39847,-34.5724],[-58.39881,-34.57183],[-58.39899,-34.57106],[-58.39907,-34.57037],[-58.39922,-34.5699]]]}"
;VPM4342;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40783,-34.56727],[-58.40055,-34.57183]]]}"
;VPM4361;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39265,-34.57484],[-58.39201,-34.57542],[-58.39124,-34.57643],[-58.39062,-34.57719],[-58.38944,-34.57809],[-58.38853,-34.57881],[-58.38753,-34.57941]]]}"
;VPM4352;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4006,-34.57182],[-58.3986,-34.57282],[-58.39686,-34.57379],[-58.39328,-34.57542]]]}"
;VPM4371;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3875,-34.57942],[-58.38683,-34.5798],[-58.38588,-34.58025],[-58.38492,-34.58069],[-58.38417,-34.58105],[-58.3834,-34.58144],[-58.38284,-34.58174]]]}"
